Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,Base Score
1573129,Ucla Store Luvalle Commons  ,Convenience Store,398,Portola Plaza, ,Los Angeles,CA,90095, ,LOS ANGELES,34.07228,-118.4396,2023-12-26,,1
1569389,Chivas Farm Market  ,Large Grocery Store,7902,S Broadway,,Los Angeles,CA,90003,2438,LOS ANGELES,33.96774,-118.278,2023-12-26,,4
313192,El Rey Supermarket  ,Medium Grocery Store,11200,Atlantic Ave,,Lynwood,CA,90262,3006,LOS ANGELES,33.9253,-118.1855,2023-12-26,,3
1571227,Kitam Market  ,Convenience Store,528,S Spring St,,Los Angeles,CA,90013,2304,LOS ANGELES,34.04648,-118.25,2023-12-21,,1
1571169,Flow  ,Convenience Store,4881,Compton Ave, ,Los Angeles,CA,90011,4437,LOS ANGELES,33.99874,-118.2481,2023-12-21,,1
1571166,Check 'n' Bottle  ,Convenience Store,15034,S Avalon Blvd,,Gardena,CA,90248,2014,LOS ANGELES,33.89562,-118.2648,2023-12-21,,1
1571164,Flow  ,Convenience Store,217,N Long Beach Blvd,,Compton,CA,90221,2834,LOS ANGELES,33.89756,-118.2084,2023-12-20,,1
1568542,Project 43 Community Farm Stand Market  ,Fruits/Veg Specialty,6841,Crenshaw Blvd,,Los Angeles,CA,90043,4666,LOS ANGELES,33.97582,-118.3312,2023-12-20,,5
1567711,Amigos Market  ,Convenience Store,2607,W Temple St,,Los Angeles,CA,90026,4821,LOS ANGELES,34.07269,-118.2751,2023-12-15,2025-08-27,1
1356668,Superior Poultry Ela  ,Meat/Poultry Specialty,450,N Ford Blvd,,Los Angeles,CA,90022,1122,LOS ANGELES,34.04195,-118.1689,2023-12-15,,2
1564762,Liquor Depot Inc  ,Convenience Store,1805,W 7th St,,Los Angeles,CA,90057,4101,LOS ANGELES,34.05524,-118.2737,2023-12-14,,1
433426,Pescaderia Ensenada Inc. PR0000285,Seafood Specialty,5718,E Whittier Blvd,,Commerce,CA,90022,4223,LOS ANGELES,34.01823,-118.1473,2023-12-12,,2
1570065,DNA Liquor Jerrys  ,Convenience Store,4279,S Vermont Ave,,Los Angeles,CA,90037,2463,LOS ANGELES,34.0057,-118.2919,2023-12-11,,1
1570439,Variedades Mayori Llc  ,Small Grocery Store,4374,W 3rd St,,Los Angeles,CA,90020,3825,LOS ANGELES,34.06877,-118.31,2023-12-11,,2
1487995,Sportsman Liquor  ,Convenience Store,3918 1/4,City Terrace Dr,,Los Angeles,CA,90063,1241,LOS ANGELES,34.05566,-118.1802,2023-12-11,,1
1567662,Winnetka Petroleum  ,Convenience Store,5820,S Figueroa St,,Los Angeles,CA,90003,1062,LOS ANGELES,33.98883,-118.2823,2023-12-11,,1
1567365,Seven Market Inc  ,Medium Grocery Store,8509,S Figueroa St,Ste 101,Los Angeles,CA,90003,2776,LOS ANGELES,33.9608,-118.2831,2023-12-11,,3
841235,Hope Liquor & Market  ,Convenience Store,2104,Beverly Blvd,,Los Angeles,CA,90057,2204,LOS ANGELES,34.06653,-118.2708,2023-12-08,,1
1569715,Estrellita Market Llc  ,Small Grocery Store,801,N Alma Ave,,Los Angeles,CA,90063,4001,LOS ANGELES,34.04506,-118.1921,2023-12-07,,2
1089954,Corona Market  ,Medium Grocery Store,2800,Maple Ave,,Los Angeles,CA,90011,1436,LOS ANGELES,34.02162,-118.2664,2023-12-07,,3
1571067,7 Eleven Sore 19985 D  ,Convenience Store,4220,Eagle Rock Blvd,,Los Angeles,CA,90065,4405,LOS ANGELES,34.12176,-118.2243,2023-12-07,,1
1559644,Western Market  ,Convenience Store,6922,S Western Ave,,Los Angeles,CA,90047,1841,LOS ANGELES,33.97644,-118.3086,2023-12-06,,1
824857,Stop And Shop Market  ,Convenience Store,1123,Vine St,Ste 13,Los Angeles,CA,90038,1670,LOS ANGELES,34.0913,-118.3267,2023-12-04,,1
1567213,Liquor Warehouse  ,Convenience Store,10025,S Prairie Ave,,Inglewood,CA,90303,1013,LOS ANGELES,33.94468,-118.3442,2023-12-01,,1
1568771,Western La Market  ,Convenience Store,7219,S Western Ave,,Los Angeles,CA,90047,2252,LOS ANGELES,33.97385,-118.3094,2023-12-01,,1
